product_id,product_name,category,price
1,wife,Clothing,470.2
2,computer,Home,451.38
3,chance,Home,402.93
4,alone,Clothing,330.26
5,floor,Home,468.39
6,south,Electronics,105.6
7,class,Electronics,459.39
8,various,Home,321.57
9,physical,Home,395.82
10,office,Home,416.46
11,arrive,Clothing,229.73
12,catch,Home,257.89
13,day,Electronics,199.31
14,reality,Electronics,355.15
15,pass,Home,325.85
16,kind,Clothing,316.5
17,these,Clothing,250.74
18,whole,Clothing,198.68
19,line,Electronics,493.43
20,write,Clothing,332.09
21,care,Electronics,136.18
22,few,Home,149.64
23,investment,Electronics,40.46
24,step,Clothing,37.79
25,listen,Electronics,241.24
26,score,Electronics,435.78
27,music,Home,57.13
28,serve,Home,82.56
29,interview,Home,441.02
30,partner,Home,278.94
31,threat,Home,237.5
32,player,Clothing,468.54
33,enter,Electronics,50.02
34,assume,Clothing,52.68
35,executive,Electronics,231.83
36,loss,Clothing,453.65
37,central,Clothing,336.99
38,I,Electronics,222.07
39,production,Clothing,243.06
40,hand,Clothing,306.29
41,event,Clothing,111.34
42,war,Clothing,126.98
43,next,Electronics,305.27
44,risk,Home,25.87
45,yet,Electronics,254.04
46,issue,Clothing,472.82
47,individual,Home,192.25
48,drive,Clothing,490.79
49,military,Electronics,240.05
50,let,Home,284.1
51,form,Home,346.55
52,central,Home,345.49
53,collection,Home,151.44
54,structure,Clothing,201.22
55,important,Home,367.9
56,star,Clothing,303.22
57,continue,Clothing,238.42
58,where,Clothing,488.21
59,including,Electronics,185.1
60,free,Clothing,246.54
61,stay,Electronics,331.62
62,pressure,Electronics,82.91
63,staff,Electronics,54.88
64,perhaps,Electronics,344.73
65,knowledge,Clothing,406.66
66,quickly,Electronics,138.85
67,old,Electronics,163.66
68,must,Home,302.28
69,try,Electronics,40.35
70,reach,Home,307.86
71,heart,Electronics,145.74
72,race,Clothing,32.01
73,history,Clothing,391.99
74,she,Home,137.52
75,group,Clothing,309.26
76,try,Home,260.19
77,service,Electronics,299.18
78,arm,Clothing,76.35
79,decision,Home,393.53
80,current,Home,427.1
81,run,Clothing,287.86
82,record,Home,264.18
83,task,Home,385.53
84,point,Home,481.84
85,consider,Electronics,44.5
86,pay,Electronics,275.8
87,for,Electronics,164.25
88,church,Home,42.63
89,quality,Home,409.8
90,do,Clothing,83.68
91,well,Clothing,69.45
92,president,Electronics,190.95
93,spend,Home,293.31
94,worker,Electronics,19.41
95,whole,Home,313.91
96,partner,Electronics,372.52
97,local,Electronics,394.14
98,already,Clothing,475.58
99,adult,Clothing,180.67
100,beyond,Electronics,460.95
